Target,h2h_home_wins,h2h_away_wins,h2h_ties,home_scored,home_conceded,away_scored,away_conceded
away_win,21,10,3,3.0,9.0,10.0,1.0
home_win,0,1,0,36.0,90.0,4.0,27.0
tie,5,12,7,98.0,80.0,125.0,85.0
away_win,1,6,0,44.0,128.0,106.0,107.0
away_win,7,43,11,109.0,119.0,278.0,106.0
home_win,6,6,4,16.0,24.0,28.0,22.0
away_win,1,4,1,126.0,125.0,156.0,74.0
tie,26,24,11,166.0,99.0,145.0,41.0
home_win,4,16,7,212.0,193.0,278.0,136.0
away_win,4,12,6,46.0,95.0,62.0,88.0
home_win,14,41,18,150.0,131.0,156.0,112.0
home_win,8,1,3,277.0,166.0,116.0,129.0
tie,3,29,7,10.0,9.0,15.0,12.0
home_win,1,0,0,201.0,103.0,47.0,77.0
home_win,2,1,2,45.0,70.0,18.0,35.0
away_win,0,0,0,10.0,25.0,85.0,92.0
away_win,1,1,0,81.0,71.0,121.0,96.0
home_win,13,2,5,162.0,97.0,169.0,98.0
away_win,6,0,1,118.0,109.0,48.0,72.0
away_win,0,5,0,90.0,114.0,126.0,54.0
away_win,0,3,1,71.0,129.0,69.0,80.0
away_win,0,0,1,80.0,72.0,82.0,78.0
tie,8,10,5,121.0,50.0,144.0,62.0
tie,27,37,21,98.0,83.0,79.0,75.0
home_win,7,3,5,149.0,64.0,101.0,74.0
home_win,0,1,0,173.0,120.0,4.0,2.0
home_win,4,1,1,300.0,182.0,180.0,114.0
tie,13,7,2,167.0,92.0,97.0,89.0
away_win,3,11,3,76.0,77.0,163.0,100.0
home_win,0,0,0,85.0,98.0,28.0,45.0
away_win,13,13,17,149.0,94.0,136.0,84.0
home_win,0,0,0,9.0,3.0,0.0,0.0
home_win,8,1,0,159.0,71.0,90.0,91.0
away_win,1,1,1,179.0,114.0,136.0,156.0
tie,0,3,1,75.0,105.0,280.0,164.0
home_win,0,1,0,171.0,103.0,134.0,97.0
home_win,0,0,1,159.0,115.0,48.0,84.0
away_win,0,2,1,43.0,75.0,60.0,75.0
away_win,6,2,5,171.0,103.0,197.0,107.0
tie,2,6,6,39.0,59.0,55.0,75.0
away_win,1,2,0,52.0,59.0,167.0,117.0
home_win,0,0,0,127.0,136.0,179.0,97.0
tie,0,0,0,0.0,0.0,13.0,9.0
tie,0,1,2,87.0,66.0,99.0,66.0
home_win,1,0,1,82.0,70.0,63.0,53.0
away_win,6,45,8,45.0,118.0,119.0,87.0
tie,1,3,4,124.0,118.0,144.0,77.0
tie,2,10,2,117.0,70.0,170.0,74.0
tie,0,1,1,59.0,76.0,84.0,99.0
tie,0,1,0,13.0,6.0,5.0,2.0
home_win,1,0,0,99.0,41.0,29.0,58.0
home_win,0,0,0,106.0,91.0,15.0,47.0
away_win,0,3,0,269.0,153.0,164.0,103.0
home_win,7,4,2,212.0,125.0,90.0,103.0
tie,0,0,0,14.0,16.0,58.0,44.0
home_win,0,0,0,14.0,29.0,42.0,51.0
